gene_name,Gene,Weight,Abs Weight
SVEP1,SVEP1,0.020655388374518413,0.020655388374518413
PGM5P3-AS1,PGM5P3-AS1,0.02064042541911573,0.02064042541911573
PREX2,PREX2,0.020626587064846914,0.020626587064846914
SCN3A,SCN3A,0.020617397536696135,0.020617397536696135
AC090004.2,AC090004.2,0.020582632973617784,0.020582632973617784
ALDH1A2,ALDH1A2,0.020562708068574517,0.020562708068574517
LINC01697,LINC01697,0.020544552137485562,0.020544552137485562
PDE9A-AS1,PDE9A-AS1,0.020538641462495035,0.020538641462495035
FAM126A,FAM126A,0.0205379861499833,0.0205379861499833
HEPACAM,HEPACAM,0.02053675460555403,0.02053675460555403
TNXB,TNXB,0.020529200875337456,0.020529200875337456
CHRDL1,CHRDL1,0.020514551889820223,0.020514551889820223
SORBS1,SORBS1,0.020503709313049893,0.020503709313049893
PROS1,PROS1,0.020488700667526158,0.020488700667526158
CAVIN2-AS1,CAVIN2-AS1,0.02048538324271654,0.02048538324271654
LDLRAD2,LDLRAD2,0.020482851684039027,0.020482851684039027
CUBN,CUBN,0.02047640958574874,0.02047640958574874
VEGFD,VEGFD,0.020455751119917945,0.020455751119917945
MIR145,MIR145,0.02045191743366058,0.02045191743366058
FOXO1,FOXO1,0.020450708973418896,0.020450708973418896
ENPP2,ENPP2,0.020444950488376242,0.020444950488376242
SHE,SHE,0.02043636380874836,0.02043636380874836
KLHL33,KLHL33,0.02042345386327826,0.02042345386327826
ADH4,ADH4,0.02042327359723515,0.02042327359723515
C2orf88,C2orf88,0.020400554871058966,0.020400554871058966
FAM13C,FAM13C,0.020384328678032988,0.020384328678032988
LINC02237,LINC02237,0.020370764247795967,0.020370764247795967
MICU3,MICU3,0.020365691636972813,0.020365691636972813
LINC02511,LINC02511,0.02034470572319058,0.02034470572319058
TMEM220,TMEM220,0.02033744637621112,0.02033744637621112
MAP1LC3C,MAP1LC3C,0.020306829199214435,0.020306829199214435
SEC24AP1,SEC24AP1,0.020302237188819943,0.020302237188819943
AQP7P1,AQP7P1,0.02029217705495857,0.02029217705495857
AC104260.2,AC104260.2,0.020288638369758954,0.020288638369758954
GIPC2,GIPC2,0.020283705818665683,0.020283705818665683
CPA1,CPA1,0.020282162974868217,0.020282162974868217
PLSCR4,PLSCR4,0.0202720972701078,0.0202720972701078
ANK2,ANK2,0.020270566279383558,0.020270566279383558
FAT4,FAT4,0.020259788333069878,0.020259788333069878
PALMD,PALMD,0.020257265145182664,0.020257265145182664
AC134043.3,AC134043.3,0.020257160022767774,0.020257160022767774
DDR2,DDR2,0.02025628742991026,0.02025628742991026
JAM2,JAM2,0.020241214312808002,0.020241214312808002
LINC01537,LINC01537,0.02022811654043344,0.02022811654043344
HSD17B13,HSD17B13,0.02022749746739893,0.02022749746739893
AP001528.2,AP001528.2,0.020221258986500203,0.020221258986500203
ANGPTL7,ANGPTL7,0.020215965724121213,0.020215965724121213
ASPA,ASPA,0.020200523332448598,0.020200523332448598
AP005264.6,AP005264.6,0.020199798425875028,0.020199798425875028
PDE2A,PDE2A,0.020197925356126585,0.020197925356126585
PGM5P4,PGM5P4,0.020190446549044522,0.020190446549044522
DST,DST,0.02014014987717587,0.02014014987717587
RYR3,RYR3,0.02013422523464458,0.02013422523464458
AC105001.1,AC105001.1,0.020130304935309238,0.020130304935309238
KCTD12,KCTD12,0.020092466301192997,0.020092466301192997
PLPP3,PLPP3,0.02008727104067913,0.02008727104067913
LRRC2,LRRC2,0.020073023695988297,0.020073023695988297
ACVR1C,ACVR1C,0.02006006978375459,0.02006006978375459
CEP112,CEP112,0.020056911807585343,0.020056911807585343
LINC02587,LINC02587,0.02005569322938457,0.02005569322938457
RUNX1T1,RUNX1T1,0.02004717063367954,0.02004717063367954
FMO2,FMO2,0.020038779111530323,0.020038779111530323
ATOH8,ATOH8,0.02003327236439263,0.02003327236439263
LINC02185,LINC02185,0.02002063751851949,0.02002063751851949
LRRC8C-DT,LRRC8C-DT,0.019992014872453518,0.019992014872453518
AC107959.1,AC107959.1,0.0199911300515018,0.0199911300515018
LINC01197,LINC01197,0.019985717047925664,0.019985717047925664
COL25A1,COL25A1,0.019981854561692047,0.019981854561692047
C8orf88,C8orf88,0.01997878141026872,0.01997878141026872
SCARA5,SCARA5,0.019875525206224962,0.019875525206224962
MIR99AHG,MIR99AHG,0.019875509075229957,0.019875509075229957
RASSF9,RASSF9,0.019859918589334558,0.019859918589334558
MASP1,MASP1,0.019857322271173875,0.019857322271173875
CD300LG,CD300LG,0.01984479863954342,0.01984479863954342
TSLP,TSLP,0.01983663031453999,0.01983663031453999
ADCYAP1R1,ADCYAP1R1,0.019833896314312205,0.019833896314312205
AL133482.1,AL133482.1,0.01981646053643068,0.01981646053643068
PGM5P4-AS1,PGM5P4-AS1,0.019794733026408686,0.019794733026408686
CCL14,CCL14,0.01979260476478063,0.01979260476478063
AL356489.2,AL356489.2,0.019779060166375543,0.019779060166375543
PGM5-AS1,PGM5-AS1,0.019777142564297568,0.019777142564297568
TRHDE-AS1,TRHDE-AS1,0.01975951686156987,0.01975951686156987
PALM2AKAP2,PALM2AKAP2,0.01974004820699072,0.01974004820699072
ADRA1A,ADRA1A,0.019732527334076825,0.019732527334076825
ALDH1L1-AS2,ALDH1L1-AS2,0.019730572311388785,0.019730572311388785
USP44,USP44,0.019718493585435946,0.019718493585435946
MEOX2,MEOX2,0.019710734270628683,0.019710734270628683
KIAA0408,KIAA0408,0.01970512321665312,0.01970512321665312
KCNIP2,KCNIP2,0.019703147252876942,0.019703147252876942
CDC14B,CDC14B,0.019701586294062517,0.019701586294062517
ABCD2,ABCD2,0.019701270741288548,0.019701270741288548
CACHD1,CACHD1,0.019693965866617653,0.019693965866617653
GPAM,GPAM,0.01968664941343486,0.01968664941343486
TMEM252,TMEM252,0.019677182540626243,0.019677182540626243
CNTNAP3P2,CNTNAP3P2,0.019673377029468093,0.019673377029468093
ANGPT4,ANGPT4,0.019670277307097205,0.019670277307097205
NGF-AS1,NGF-AS1,0.019664418977230914,0.019664418977230914
GPR17,GPR17,0.019630152016895414,0.019630152016895414
FLRT2,FLRT2,0.019628076685664728,0.019628076685664728
EGFEM1P,EGFEM1P,0.019625470269164808,0.019625470269164808
AC006566.2,AC006566.2,0.01961169187929831,0.01961169187929831
LINC01028,LINC01028,0.019592298307472042,0.019592298307472042
RDH5,RDH5,0.01959130078213449,0.01959130078213449
MYOC,MYOC,0.01958243644278395,0.01958243644278395
ALDH1L1,ALDH1L1,0.0195738616952118,0.0195738616952118
TMEM100,TMEM100,0.019572720693718907,0.019572720693718907
FGF2,FGF2,0.01956825464233341,0.01956825464233341
BMX,BMX,0.019567727099174346,0.019567727099174346
CHL1,CHL1,0.019558395782173863,0.019558395782173863
SIK2,SIK2,0.01955645578253401,0.01955645578253401
CELF2,CELF2,0.019552198878235467,0.019552198878235467
CORO2B,CORO2B,0.019551912150584806,0.019551912150584806
AKAP12,AKAP12,0.01954650136548537,0.01954650136548537
AC109587.1,AC109587.1,0.019541501896650135,0.019541501896650135
PEAR1,PEAR1,0.019539184856862585,0.019539184856862585
TACR1,TACR1,0.019533471432253337,0.019533471432253337
AOC3,AOC3,0.019515048662904738,0.019515048662904738
TNMD,TNMD,0.019511111456346656,0.019511111456346656
LINC00968,LINC00968,0.019508600690911832,0.019508600690911832
AC092155.1,AC092155.1,0.019506121255297118,0.019506121255297118
MAML2,MAML2,0.019499957026789715,0.019499957026789715
GNAL,GNAL,0.01949247139942081,0.01949247139942081
LPL,LPL,0.019490047905130706,0.019490047905130706
MAMDC2,MAMDC2,0.01948222519707764,0.01948222519707764
